contrib_id,org_name,candidate_cand_crp_id
1st%20Edge%20LLC--N00009920,1st Edge LLC,N00009920
1st%20Financial%20Bank%20USA--N00003280,1st Financial Bank USA,N00003280
21st%20Century%20Healthcare--N00039293,21st Century Healthcare,N00039293
21st%20Century%20Healthcare--N00042056,21st Century Healthcare,N00042056
303%20Management--N00026368,303 Management,N00026368
314%20Action--N00026926,314 Action,N00026926
314%20Action--N00030196,314 Action,N00030196
314%20Action--N00033373,314 Action,N00033373
340b%20Health--N00009888,340b Health,N00009888
4Life%20Research--N00041221,4Life Research,N00041221
80%20Vilano%20Road%20LLC--N00039777,80 Vilano Road LLC,N00039777
A%20New%20Direction%20PAC--N00038397,A New Direction PAC,N00038397
A%20Preferred%20Women's%20Health%20Center--N00035451,A Preferred Women's Health Center,N00035451
A10%20Assoc--N00033814,A10 Assoc,N00033814
A10%20Assoc--N00041956,A10 Assoc,N00041956
Aag%20Management--N00038742,Aag Management,N00038742
Aaon%20Inc--N00040829,Aaon Inc,N00040829
AAR%20Corp--N00004981,AAR Corp,N00004981
AAR%20Corp--N00027860,AAR Corp,N00027860
AAR%20Corp--N00033240,AAR Corp,N00033240
Abbott%20Laboratories--N00004961,Abbott Laboratories,N00004961
Abbott%20Laboratories--N00030752,Abbott Laboratories,N00030752
Abbott%20Laboratories--N00031227,Abbott Laboratories,N00031227
Abbott%20Laboratories--N00033373,Abbott Laboratories,N00033373
Abbott%20Laboratories--N00034784,Abbott Laboratories,N00034784
Abbott%20Laboratories--N00036107,Abbott Laboratories,N00036107
Abbott%20Laboratories--N00037422,Abbott Laboratories,N00037422
Abbott%20Laboratories--N00038601,Abbott Laboratories,N00038601
AbbVie%20Inc--N00002593,AbbVie Inc,N00002593
AbbVie%20Inc--N00003028,AbbVie Inc,N00003028
AbbVie%20Inc--N00006460,AbbVie Inc,N00006460
AbbVie%20Inc--N00009888,AbbVie Inc,N00009888
AbbVie%20Inc--N00031545,AbbVie Inc,N00031545
AbbVie%20Inc--N00033101,AbbVie Inc,N00033101
AbbVie%20Inc--N00035215,AbbVie Inc,N00035215
AbbVie%20Inc--N00035307,AbbVie Inc,N00035307
AbbVie%20Inc--N00042237,AbbVie Inc,N00042237
Abc%20Supply--N00043379,Abc Supply,N00043379
Abercrombie%20&%20Kent--N00031782,Abercrombie & Kent,N00031782
ABRY%20Partners--N00028463,ABRY Partners,N00028463
Absolute%20Machine%20Tools--N00027894,Absolute Machine Tools,N00027894
Academy%20Bus--N00000699,Academy Bus,N00000699
Acadia%20Healthcare--N00009888,Acadia Healthcare,N00009888
Acadia%20Healthcare--N00028463,Acadia Healthcare,N00028463
Acadian%20Companies--N00030245,Acadian Companies,N00030245
Acadian%20Companies--N00035504,Acadian Companies,N00035504
Acadian%20Companies--N00036633,Acadian Companies,N00036633
Acadian%20Companies--N00039953,Acadian Companies,N00039953
Accel%20Inc--N00026427,Accel Inc,N00026427
Access--N00042649,Access,N00042649
Access%20Radiology--N00026823,Access Radiology,N00026823
Act%20III%20Holdings--N00032838,Act III Holdings,N00032838
Act%20III%20Holdings--N00034580,Act III Holdings,N00034580
Adage%20Capital--N00035431,Adage Capital,N00035431
Adams%20&%20Reese--N00009920,Adams & Reese,N00009920
Adams%20&%20Reese--N00030184,Adams & Reese,N00030184
Adams%20&%20Reese--N00036633,Adams & Reese,N00036633
Adams%20Robinson%20Enterprises--N00025175,Adams Robinson Enterprises,N00025175
Addicus--N00043298,Addicus,N00043298
Adobe%20Inc--N00042013,Adobe Inc,N00042013
Adtalem%20Global%20Education--N00009888,Adtalem Global Education,N00009888
Advance%20Financial--N00003105,Advance Financial,N00003105
Advance%20Financial--N00025445,Advance Financial,N00025445
Advance%20Financial--N00041599,Advance Financial,N00041599
Advance%20Financial--N00041873,Advance Financial,N00041873
Advanced%20Futures%20Inc--N00033814,Advanced Futures Inc,N00033814
Advanced%20Scientific%20Concepts--N00037015,Advanced Scientific Concepts,N00037015
AdventHealth--N00040133,AdventHealth,N00040133
Adventum%20Investments--N00025337,Adventum Investments,N00025337
AECOM%20Global--N00004961,AECOM Global,N00004961
AEGON%20NV--N00000575,AEGON NV,N00000575
AEGON%20NV--N00001955,AEGON NV,N00001955
AEGON%20NV--N00002593,AEGON NV,N00002593
AEGON%20NV--N00009920,AEGON NV,N00009920
Affiliated%20Managers%20Group--N00035544,Affiliated Managers Group,N00035544
Affiliated%20Managers%20Group--N00037269,Affiliated Managers Group,N00037269
Affinity%20Living%20Group--N00026166,Affinity Living Group,N00026166
AFL-CIO--N00031681,AFL-CIO,N00031681
AFLAC%20Inc--N00000575,AFLAC Inc,N00000575
AFLAC%20Inc--N00002408,AFLAC Inc,N00002408
AFLAC%20Inc--N00002577,AFLAC Inc,N00002577
AFLAC%20Inc--N00002674,AFLAC Inc,N00002674
AFLAC%20Inc--N00009920,AFLAC Inc,N00009920
