Symbol,Market_Cap,Orgname,State,contrib_id,candi_id
AAL,15480154360,American Airlines Group,Texas,American%20Airlines%20Group--N00003280,N00003280
AAPL,2.13E+12,Apple Inc,California,Apple%20Inc--N00000528,N00000528
ABBV,1.85E+11,AbbVie Inc,Illinois,AbbVie%20Inc--N00002593,N00002593
ABC,23121559643,AmerisourceBergen Corp,Pennsylvania,AmerisourceBergen%20Corp--N00004118,N00004118
ABNB,1.19E+11,Airbnb Inc,California,Airbnb%20Inc--N00000781,N00000781
ABT,2.08E+11,Abbott Laboratories,Illinois,Abbott%20Laboratories--N00004961,N00004961
AC,807557811,Associated Builders & Contractors,Connecticut,Associated%20Builders%20&%20Contractors--N00041335,N00041335
ACGL,15104984022,Capital Group,Pembroke,Capital%20Group--N00000153,N00000153
ACGLO,0,Capital Group,Pembroke,Capital%20Group--N00000153,N00000153
ACGLP,0,Capital Group,Pembroke,Capital%20Group--N00000153,N00000153
ACHC,5247124018,Acadia Healthcare,Tennessee,Acadia%20Healthcare--N00009888,N00009888
ADBE,2.15E+11,Adobe Inc,California,Adobe%20Inc--N00042013,N00042013
ADP,80386430626,Automatic Data Processing Inc,New Jersey,Automatic%20Data%20Processing%20Inc--N00033832,N00033832
AEE,19916244804,Ameren Corp,Missouri,Ameren%20Corp--N00030667,N00030667
AEP,41486166669,American Electric Power,Ohio,American%20Electric%20Power--N00028152,N00028152
AEPPL,0,American Electric Power,Ohio,American%20Electric%20Power--N00028152,N00028152
AEPPZ,0,American Electric Power,Ohio,American%20Electric%20Power--N00028152,N00028152
AFG,10068972091,American Financial Group,Ohio,American%20Financial%20Group--N00003682,N00003682
AFGB,0,American Financial Group,Ohio,American%20Financial%20Group--N00003682,N00003682
AFGC,26568357,American Financial Group,Ohio,American%20Financial%20Group--N00003682,N00003682
AFGD,0,American Financial Group,Ohio,American%20Financial%20Group--N00003682,N00003682
AFGE,0,American Financial Group,Ohio,American%20Financial%20Group--N00003682,N00003682
AFL,35200571683,AFLAC Inc,Georgia,AFLAC%20Inc--N00000575,N00000575
AFT,232817262,Apollo,New York,Apollo--N00035483,N00035483
AHT,238519518,Ashford Hospitality Trust,None,Ashford%20Hospitality%20Trust--N00042237,N00042237
