id,contract_sop
3320,AK
2673,AK
3120,AK
3322,AK
3335,AK
3667,AK
3669,AK
3483,AK
3749,AK
3336,AK
3813,AK
2744,AK
3156,AK
4384,AK
2111,AK
2119,AK
2126,AK
2149,AK
2261,AK
2263,AK
2275,AK
2276,AK
2571,AK
2572,AK
2573,AK
2808,AK
3027,AK
3029,AK
3030,AK
3036,AK
3248,AK
3249,AK
309,AK
310,AK
311,AK
332,AK
334,AK
385,AK
593,AK
863,AK
870,AK
873,AK
889,AK
976,AK
977,AK
979,AK
987,AK
1046,AK
1074,AK
1539,AK
1561,AK
336,AK
337,AK
386,AK
859,AK
975,AK
985,AK
988,AK
1008,AK
1067,AK
1543,AK
986,AK
307,AK
586,AK
869,AK
2112,AK
3034,AK
312,AK
1533,AK
384,AK
595,AK
871,AK
890,AK
308,AK
990,AK
989,AK
872,AK
335,AK
333,AK
338,AK
860,AK
1552,AK
383,AK
1556,AK
862,AK
587,AK
1047,AK
1547,AK
2298,AK
2911,AK
3841,AK
3666,AK
4317,AK
3133,AK
2203,AK
2872,AK
3089,AK
2419,AK
2645,AK
3074,AK
2861,AK
2899,AK
1720,AK
1777,AK
2218,AK
1969,AK
2484,AK
2712,AK
3080,AK
2483,AK
2410,AK
2568,AK
2503,AK
3888,AK
2093,AK
3045,AK
2455,AK
2615,AK
2890,AK
3889,AK
2915,AK
908,AK
2019,AK
2024,AK
2048,AK
2049,AK
2677,AK
2798,AK
2921,AK
3273,AK
106,AK
2672,AK
443,AK
1373,AK
2624,AK
2217,AK
124,AK
101,AK
138,AK
2418,AK
2713,AK
1966,AK
1967,AK
2192,AK
2740,AK
2866,AK
3075,AK
3134,AK
3039,AK
1139,AK
1486,AK
2917,AK
2919,AK
2077,AK
2223,AK
2685,AK
2686,AK
2833,AK
2834,AK
2835,AK
3197,AK
2411,AK
3157,AK
2412,AK
2037,AK
2078,AK
3158,AK
2050,AK
2556,AK
2558,AK
2788,AK
2144,AK
2860,AK
1968,AK
2191,AK
2420,AK
2421,AK
2646,AK
2813,AK
2723,AK
2930,AK
2038,AK
2079,AK
2442,AK
2593,AK
2725,AK
2053,AK
2594,AK
2848,AK
2853,AK
874,AK
1470,AK
2227,AK
2591,AK
2454,AK
2592,AK
2687,AK
132,AK
2998,AL
3135,AL
4023,AL
4364,AL
4387,AL
4710,AL
1716,AL
2162,AL
2818,AL
3592,AL
4598,AL
4635,AL
3615,AL
4607,AL
4650,AL
1299,AL
4470,AL
2159,AL
2897,AL
4656,AL
1988,AL
2490,AL
2718,AL
756,AL
810,AL
1604,AL
2029,AL
408,AL
410,AL
830,AL
1222,AL
1786,AL
3553,AL
1535,AL
4733,AL
3602,AL
1684,AL
2719,AL
4191,AL
2425,AL
2462,AL
2846,AL
3842,AL
937,AL
1639,AL
1711,AL
2115,AL
559,AL
663,AL
757,AL
4096,AL
404,AL
355,AL
1962,AL
829,AL
580,AL
827,AL
1593,AL
1542,AL
828,AL
1608,AL
1585,AL
1682,AL
1932,AL
1961,AL
1592,AL
1685,AL
3998,AL
4459,AL
1189,AL
2209,AL
2317,AL
2531,AL
2607,AL
781,AL
903,AL
2034,AL
1767,AL
1802,AL
2314,AL
1606,AL
27,AL
70,AL
1544,AL
1679,AL
1607,AL
2424,AL
2567,AL
3287,AL
1797,AL
2877,AL
61,AL
79,AL
95,AL
125,AL
130,AL
135,AL
953,AL
1826,AR
2297,AR
1776,AR
1775,AR
1620,AR
1010,AR
1155,AR
1965,AR
2296,AR
1633,AR
2354,AR
2355,AR
2043,AR
1862,AR
2,AR
4202,AZ
4062,AZ
4521,AZ
3048,AZ
4279,AZ
4520,AZ
4339,AZ
4715,AZ
4716,AZ
4199,AZ
4289,AZ
4203,AZ
4673,AZ
4668,AZ
4669,AZ
2972,AZ
3898,AZ
3899,AZ
4590,AZ
4287,AZ
3035,AZ
4253,AZ
4626,AZ
2169,AZ
3064,AZ
1941,AZ
2821,AZ
2850,AZ
4389,AZ
4735,AZ
4204,AZ
4205,AZ
4206,AZ
4701,AZ
1934,AZ
2731,AZ
2849,AZ
3062,AZ
4229,AZ
4737,AZ
4294,AZ
4207,AZ
4702,AZ
3144,AZ
4734,AZ
4333,AZ
1935,AZ
2473,AZ
3063,AZ
118,AZ
99,AZ
119,AZ
2362,AZ
2472,AZ
2635,AZ
4227,AZ
3979,AZ
4443,AZ
4445,AZ
578,AZ
1137,AZ
1483,AZ
1253,AZ
4286,AZ
2340,AZ
2433,AZ
1889,AZ
2754,AZ
2338,AZ
2549,AZ
1854,AZ
2086,AZ
2757,AZ
4700,AZ
2336,AZ
2085,AZ
2405,AZ
2944,AZ
2406,AZ
2546,AZ
2219,AZ
4680,AZ
2682,AZ
2383,AZ
2384,AZ
2226,AZ
1778,AZ
2222,AZ
1581,AZ
2551,AZ
3617,AZ
1568,AZ
1869,AZ
2938,AZ
2328,AZ
3392,AZ
3918,AZ
1921,AZ
2984,AZ
2606,AZ
3987,AZ
4288,AZ
2771,AZ
2207,AZ
2443,AZ
3096,AZ
3840,AZ
2407,AZ
3097,AZ
2693,AZ
2694,AZ
1832,AZ
2337,AZ
2479,AZ
2155,AZ
1905,AZ
1541,AZ
2709,AZ
2773,AZ
3129,AZ
1955,AZ
2478,AZ
2772,AZ
2082,AZ
2756,AZ
3808,AZ
2617,AZ
3275,AZ
37,AZ
78,AZ
148,AZ
149,AZ
159,AZ
4193,AZ
3562,CA
3568,CA
3744,CA
143,CA
155,CA
156,CA
157,CA
176,CA
242,CA
154,CA
202,CA
185,CA
152,CA
158,CA
194,CA
223,CA
163,CA
177,CA
179,CA
186,CA
265,CA
299,CA
180,CA
208,CA
270,CA
178,CA
216,CA
290,CA
293,CA
295,CA
588,CA
596,CA
3242,CA
3853,CA
3538,CA
3551,CA
3571,CA
3570,CA
4390,CA
3025,CA
3026,CA
3375,CA
4388,CA
3136,CA
2999,CA
3354,CA
3427,CA
4285,CA
4366,CA
4367,CA
4711,CA
4365,CA
3846,CA
4697,CA
145,CA
181,CA
197,CA
203,CA
211,CA
144,CA
195,CA
196,CA
244,CA
3504,CA
4490,CA
374,CA
375,CA
532,CA
533,CA
706,CA
898,CA
960,CA
961,CA
1076,CA
1094,CA
1187,CA
1193,CA
1194,CA
376,CA
704,CA
705,CA
1084,CA
1188,CA
1651,CA
3848,CA
3807,CA
146,CA
165,CA
166,CA
182,CA
183,CA
199,CA
205,CA
206,CA
225,CA
226,CA
227,CA
184,CA
164,CA
534,CA
980,CA
1077,CA
1078,CA
1649,CA
540,CA
981,CA
1093,CA
1095,CA
1650,CA
1648,CA
703,CA
1091,CA
3545,CA
3546,CA
4617,CA
4618,CA
1973,CA
1128,CA
1810,CA
1903,CA
2279,CA
2997,CA
3993,CA
2146,CA
1386,CA
1822,CA
1824,CA
1917,CA
1920,CA
1925,CA
1927,CA
2056,CA
2057,CA
2246,CA
1314,CA
1804,CA
4210,CA
1393,CA
2148,CA
2239,CA
1821,CA
3946,CA
147,CA
198,CA
245,CA
2047,CA
1387,CA
319,CA
1011,CA
160,CA
3817,CA
3585,CA
3556,CA
4529,CA
2230,CA
2511,CA
1812,CA
2167,CA
1928,CA
2244,CA
1525,CA
2055,CA
1390,CA
2168,CA
3809,CA
1524,CA
2238,CA
3263,CA
1310,CA
1805,CA
1923,CA
2235,CA
2224,CA
2242,CA
2250,CA
2512,CA
4004,CA
4005,CA
4006,CA
1313,CA
1813,CA
1814,CA
2510,CA
1392,CA
1926,CA
2253,CA
2237,CA
1312,CA
2147,CA
2249,CA
3555,CA
3477,CA
3489,CA
3490,CA
3924,CA
4412,CA
3264,CA
3226,CA
4493,CA
4071,CA
3265,CA
3810,CA
3811,CA
3947,CA
3996,CA
4631,CA
4577,CA
4385,CA
3478,CA
4383,CA
3914,CA
4025,CA
4355,CA
2990,CA
2637,CA
3004,CA
2284,CA
2966,CA
4037,CA
4162,CA
2920,CA
4555,CA
3806,CA
4489,CA
4100,CA
4101,CA
4457,CA
4458,CA
3909,CA
2164,CA
3086,CA
2370,CA
2882,CA
4670,CA
4696,CA
3471,CA
