"id";"contract_award_id";"contract_naics_description";"contract_award_description";"contract_parentagency";"contract_currentval";"contract_recipient";"contract_naics";"contract_sop";"contract_date";"contract_stateflag";"contract_agencylogo";"contract_recipient_address";"contract_recipient_district"
1;"DAAB0702CJ204";"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTUR";"200212!001205!2100!AB07  !USA COMMUNICATIONS-ELECTRONICS  !DAAB0702CJ204  !A!N! !N!                   !20020131!20031231!160386082!160386082!007321904!N!TEXAS INSTRUMENTS INCORPORATED!2501 W UNIVERSIT";"DEPARTMENT OF DEFENSE (DOD)";0.0;"TEXAS INSTRUMENTS INCORPORATED";334511;"TX";"2002-01-31";"https://upload.wikimedia.org/wikipedia/commons/f/f7/Flag_of_Texas.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"2501 W UNIVERSITY DR";4
2;"DAAE3099C1104";"AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING";"199912!2100!0916!AE30 !U.S. ARMY ARMAMENT RD&E CENTER  !DAAE3099C1104  !A!*!*                  !19990914!20010914!154240659!620505362!194860813!N!3X552!HITECH HOLDINGS INC           !1 2 MILE WEST OF ";"DEPARTMENT OF DEFENSE (DOD)";294570.0;"HITECH HOLDINGS INC";332993;"AR";"1999-09-14";"https://upload.wikimedia.org/wikipedia/commons/9/9d/Flag_of_Arkansas.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"1 2 MILE WEST OF HWY 203";4
3;"DAAD1301C0003";"ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING";"200106!000005!2100!AD13  !USA MATERIEL COMMAND ACQUISITION!DAAD1301C0003  !A!N!*!N!                   !20001018!20010801!196587547!836425454!002045615!N!TECHNICAL PRODUCTS GROUP, INC !2000 BRUNSWICK L";"DEPARTMENT OF DEFENSE (DOD)";0.0;"CHEMRING SENSORS AND ELECTRONIC SYSTEMS, INC.";334516;"VA";"2000-10-18";"https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Virginia.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"23031 LADBROOK DR";10
4;"DAAD1701C0005";"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES";"200110!000190!2100!AD17  !USA MATERIEL COMMAND ACQUISITION!DAAD1701C0005  !A!N!*!Y!                   !20010110!20021231!053885604!053885604!053885604!N!TECHNOLOGY SERVICE CORP       !11400 W  OLYMPIC";"DEPARTMENT OF DEFENSE (DOD)";0.0;"TECHNOLOGY SERVICE CORP";541710;"MD";"2001-01-10";"https://upload.wikimedia.org/wikipedia/commons/a/a0/Flag_of_Maryland.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"962 WAYNE AVE STE 800";8
5;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"CHANGE PROPOSAL FOR OPEN BURN TREATMENT FACILITY SITE ASSESSMENT";"DEPARTMENT OF DEFENSE (DOD)";439188000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
6;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"INVENTORY, MODEL, AND PRIORITIZE EXISTING STATE OF INFORMATION SYSTEMS ARCHITECTURE AT HSAAP.";"DEPARTMENT OF DEFENSE (DOD)";429018000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
7;"DAAA0996C0018";"ALL OTHER SUPPORT SERVICES";"EXTEND THE PERIOD OF PERFORMANCE";"DEPARTMENT OF DEFENSE (DOD)";4813.96;"WEST VALLEY ENVIRONMENTAL SERV";561990;"SC";"1996-11-01";"https://upload.wikimedia.org/wikipedia/commons/6/69/Flag_of_South_Carolina.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"1933 S CENTENNIAL AVE. SE";0
8;"DAAA0996C0018";"ALL OTHER SUPPORT SERVICES";"OBLIGATE FY20 TREATY FUNDING";"DEPARTMENT OF DEFENSE (DOD)";4813.96;"WEST VALLEY ENVIRONMENTAL SERV";561990;"SC";"1996-11-01";"https://upload.wikimedia.org/wikipedia/commons/6/69/Flag_of_South_Carolina.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"1933 S CENTENNIAL AVE. SE";0
9;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"BOXWAY UPGRADE DESIGN MODERNIZATION EFFORT - NEGOTIATION WITH HSAAP FACILITY OPERATOR BAE.";"DEPARTMENT OF DEFENSE (DOD)";429018000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
10;"DAAA0998E0006";"FACILITIES SUPPORT SERVICES";"DESIGN OF NITRATION FACILITY BUILDING ""D"" FOR RDX/HMX EXPANSION.";"DEPARTMENT OF DEFENSE (DOD)";429018000.0;"ORDNANCE SYSTEMS INCORPORATED";561210;"TN";"1998-09-29";"https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Tennessee.svg";"https://upload.wikimedia.org/wikipedia/commons/3/37/USDA_logo.png";"4509 W STONE DR";1
