APXT,Apex Technology Acquisition Corporation Class A Common Stock,13.07,0.1,0.77%,582399200,United States,2019,474125,Technology,Computer Software: Prepackaged Software,Apex
APXTU,Apex Technology Acquisition Corporation Unit,14.99,0.65,4.53%,0,United States,2019,450,Technology,Computer Software: Prepackaged Software,Apex
APXTW,Apex Technology Acquisition Corporation Warrant,3.71,0.21,6.00%,0,United States,2019,422477,Technology,Computer Software: Prepackaged Software,Apex
ARI,Apollo Commercial Real Estate Finance Inc,14.68,0.14,0.96%,2052981485,United States,2009,173976,Consumer Services,Real Estate Investment Trusts,Apollo
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,5.79,-0.01,-0.17%,736460318,United States,1999,60972,Energy,Coal Mining,Alliance Resource Partners
ARW,Arrow Electronics Inc. Common Stock,108.53,0.43,0.40%,8096688877,United States,0,49701,Technology,Electronic Components,Electronics Inc
ATGE,Adtalem Global Education Inc. Common Stock,40.27,-0.17,-0.42%,2019686438,United States,0,34105,Consumer Services,Other Consumer Services,Adtalem Global Education
AZN,AstraZeneca PLC American Depositary Shares,49.315,-0.735,-1.47%,1.29E+11,United Kingdom,0,4435255,Health Care,Major Pharmaceuticals,AstraZeneca PLC
AZO,AutoZone Inc. Common Stock,1299.43,0.43,0.03%,28825255690,United States,0,36076,Consumer Services,Other Specialty Stores,AutoZone Inc
TGT,Target Corporation Common Stock,178.63,-1.58,-0.88%,89067808233,United States,0,428438,Consumer Services,Department/Specialty Retail Stores,Target Corp
TKR,Timken Company (The) Common Stock,83.645,0.615,0.74%,6332824429,United States,0,113668,Capital Goods,Metal Fabrications,Timken Co
TRV,The Travelers Companies Inc. Common Stock,156.03,-0.44,-0.28%,39353005811,United States,0,287062,Finance,Property-Casualty Insurers,Travelers Companies
TXT,Textron Inc. Common Stock,54.005,0.095,0.18%,12255095750,United States,0,100144,Capital Goods,Aerospace,Textron Inc
UAL,United Airlines Holdings Inc. Common Stock,59.939,0.129,0.22%,19089149747,United States,0,5767431,Transportation,Air Freight/Delivery Services,United Airlines Holdings
UEIC,Universal Electronics Inc. Common Stock,61.26,-0.44,-0.71%,845912263,United States,1993,2609,Consumer Non-Durables,Consumer Electronics/Appliances,Electronics Inc
UNP,Union Pacific Corporation Common Stock,210.295,-1.405,-0.66%,1.41E+11,United States,0,549731,Transportation,Railroads,Union Pacific Corp
UPS,United Parcel Service Inc. Common Stock,159.93,-2.89,-1.78%,1.39E+11,United States,1999,646709,Transportation,Trucking Freight/Courier Services,United Parcel Service
